"id","user_id","img_url","title","description","price","upload_date"
"1","2","/arts/camera.png","Kamera","Toto je kamera","20","2025-02-28 15:20:19"
"2","7","/arts/abstract.png","Abstract No.45","A colorful abstract composition filled with organic shapes and dynamic flow.","150","2025-02-28 15:20:19"
"3","7","/arts/composition.png","Still life","A not so classic still life with fruit and flowers.","56","2025-02-28 15:20:19"
"4","5","/arts/raffael.png","The School of Athens","A Renaissance masterpiece by Raphael, depicting great philosophers.","50000000","2025-02-28 15:20:19"
"5","10","/arts/reflection.png","Reflection","Reflection on the water surface captured in painting.","74","2025-02-28 15:20:19"
"6","11","/arts/sunset.png","Sunset at the beach","Sun setting over a sandy beach, capturing the peaceful light.","42","2025-02-28 15:20:19"
"7","4","/arts/sunset2.png","Horizon","A minimalist landscape with a setting sun on the horizon and gentle color transitions.","176","2025-02-28 15:20:19"
"8","1","/arts/An-undirected-graph-with-7-nodes-and-7-edges.png","dd","ds","10","2025-02-28 15:33:01"
"id","user_id"
"1","1"
"2","2"
"3","3"
"4","4"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"10","10"
"11","11"
"12","12"
"id","cart_id","art_id"
"1","3","1"
"2","3","6"
"3","3","5"
"4","3","6"
"5","3","5"
"6","3","1"
"7","3","6"
"8","3","6"
"id","user_id","card_number","expiration_date","cvc","card_creation_date"
"id","user_id","art_id","review_text","rating","review_creation_date"
"1","10","1","The camera photo is good, but I feel it could use more contrast to make it stand out.","3","2025-02-28 15:20:20"
"2","6","2","Abstract No.45 is vibrant, but the composition seems a bit chaotic and overwhelming.","4","2025-02-28 15:20:20"
"3","2","3","The still life composition feels classic and serene, a beautiful piece of art.","5","2025-02-28 15:20:20"
"4","4","4","The School of Athens is a masterpiece that brings Renaissance philosophy to life.","5","2025-02-28 15:20:20"
"5","2","5","Reflection has a deep sense of tranquility. The symmetry is perfect.","5","2025-02-28 15:20:20"
"6","10","6","Sunset at the beach is peaceful, but the picture seems a bit overexposed.","3","2025-02-28 15:20:20"
"7","7","7","Horizon has a minimalist beauty, the gradients create a soothing visual effect.","5","2025-02-28 15:20:20"
"8","3","1","The vintage camera photograph is stunning, with beautiful mechanical details.","5","2025-02-28 15:20:20"
"9","5","2","Abstract No.45 is a fantastic blend of colors and shapes. Truly mesmerizing!","5","2025-02-28 15:20:20"
"10","9","3","The still life is well done, but the colors seem a bit dull compared to other works.","4","2025-02-28 15:20:20"
"11","2","4","The School of Athens is impressive piece of work.","5","2025-02-28 15:20:20"
"12","7","5","Reflection is nice, but it lacks the depth I was expecting.","3","2025-02-28 15:20:20"
